1	1.6666667e-01	1.6666669e-01	1.6666667e-01	0.0000000e+00	8.9406967e-08
2	2.1666668e-01	2.1666670e-01	2.1666667e-01	6.8774590e-08	1.3754918e-07
3	2.4047618e-01	2.4047637e-01	2.4047619e-01	6.1965224e-08	7.4358269e-07
4	2.5436509e-01	2.5436521e-01	2.5436509e-01	0.0000000e+00	4.6865429e-07
5	2.6345602e-01	2.6345611e-01	2.6345599e-01	1.1312068e-07	4.5248274e-07
6	2.6986629e-01	2.6986647e-01	2.6986626e-01	1.1043367e-07	7.7303571e-07
7	2.7462822e-01	2.7462864e-01	2.7462816e-01	2.1703762e-07	1.7363010e-06
8	2.7830470e-01	2.7830505e-01	2.7830464e-01	2.1417051e-07	1.4991936e-06
9	2.8122869e-01	2.8122902e-01	2.8122860e-01	3.1791564e-07	1.4836063e-06
10	2.8360963e-01	2.8361034e-01	2.8360957e-01	2.1016443e-07	2.7321375e-06
11	2.8558594e-01	2.8558731e-01	2.8558585e-01	3.1306510e-07	5.1133970e-06
12	2.8725263e-01	2.8725433e-01	2.8725252e-01	4.1499825e-07	6.3287234e-06
13	2.8867713e-01	2.8867912e-01	2.8867701e-01	4.1295041e-07	7.3298697e-06
14	2.8990868e-01	2.8991032e-01	2.8990853e-01	5.1399525e-07	6.1679434e-06
15	2.9098395e-01	2.9098606e-01	2.9098380e-01	5.1209594e-07	7.7838577e-06
16	2.9193088e-01	2.9193306e-01	2.9193076e-01	4.0834780e-07	7.8606954e-06
17	2.9277122e-01	2.9277325e-01	2.9277110e-01	4.0717575e-07	7.3291635e-06
18	2.9352197e-01	2.9352379e-01	2.9352185e-01	4.0613429e-07	6.5996824e-06
19	2.9419672e-01	2.9419899e-01	2.9419661e-01	4.0520280e-07	8.1040562e-06
20	2.9480645e-01	2.9480743e-01	2.9480636e-01	3.0327354e-07	3.6392823e-06
21	2.9536015e-01	2.9536057e-01	2.9536006e-01	3.0270499e-07	1.7153284e-06
22	2.9586518e-01	2.9586601e-01	2.9586512e-01	2.0145885e-07	3.0218825e-06
23	2.9632771e-01	2.9632950e-01	2.9632765e-01	2.0114439e-07	6.2354761e-06
24	2.9675287e-01	2.9675484e-01	2.9675281e-01	2.0085621e-07	6.8291110e-06
25	2.9714501e-01	2.9714775e-01	2.9714498e-01	1.0029556e-07	9.3274875e-06
26	2.9750788e-01	2.9751015e-01	2.9750782e-01	2.0034648e-07	7.8135126e-06
27	2.9784456e-01	2.9784584e-01	2.9784453e-01	1.0006000e-07	4.4026397e-06
28	2.9815787e-01	2.9815865e-01	2.9815781e-01	1.9990972e-07	2.7987360e-06
29	2.9845008e-01	2.9845047e-01	2.9845005e-01	9.9856983e-08	1.3979978e-06
30	2.9872331e-01	2.9872322e-01	2.9872328e-01	9.9765650e-08	1.9953130e-07
31	2.9897934e-01	2.9897881e-01	2.9897928e-01	1.9936046e-07	1.5948837e-06
32	2.9921973e-01	2.9921913e-01	2.9921967e-01	1.9920029e-07	1.7928027e-06
